82,базилик фиолетовый,г
83,баклажаны,по вкусу
84,баклажаны мини,г
85,баклажаны тайские,г
86,балык,г
87,бальзам,г
88,бальзамический крем,стакан
89,бальзамический соус,ст. л.
90,бальзамический уксус,стакан
91,бальзам рижский черный,ст. л.
92,бамия,г
93,банановое пюре,г
94,банановые чипсы,горсть
95,банановый зеленый сироп,мл
96,банановый ликер,мл
97,бананы,г
98,бананы мини,г
99,барабулька,г
100,бараний ливер,г
101,бараний окорок на косточке,кусок
102,бараний фарш,г
103,баранина,г
104,баранки,г
105,бараньи антрекоты,кг
106,бараньи голяшки,шт.
107,бараньи потроха,кг
108,бараньи ребрышки,шт.
109,баранья лопатка,кг
110,баранья нога,г
111,баранья печень,г
112,барбарис,г
113,барбарис вяленый,ст. л.
114,барбарис молотый,г
115,бастурма,г
116,батат,г
117,батон,г
118,батончики шоколадные,г
119,безе,г
120,бекон,по вкусу
121,бекон варено-копченый,г
122,бекон сырокопченый,г
123,белорыбица,г
124,бирнель,мл
125,бисквик смесь готовая,пакет
126,бисквит,г
127,бисквитная крошка,г
128,бисквитный корж,г
129,бисквитный рулет,г
130,бисквит шоколадный,г
131,бифштекс,шт.
132,блинная мука,г
133,блины готовые,г
134,блины овсяные,шт.
135,бобовые ростки,г
136,бобы,г
137,бобы мунг пророщенные,г
138,бобы тонка,шт.
139,ботарга,г
140,брезаола,г
141,бренди,г
142,брокколи замороженная,г
143,брокколи свежая,г
144,брусника замороженная,г
145,брусника свежая,г
146,брусника сушеная,г
147,брусничное варенье,г
148,брусничный соус,г
149,брынза,по вкусу
150,брынза сербская,г
151,брюква,г
152,буженина,г
153,бузина сироп,ст. л.
154,букет гарни,пучок
155,булгур,г
156,булка,кусок
157,булка белая,г
158,булка сдобная,г
159,булочки,г
160,булочки белые черствые,г
161,булочки бриошь,шт.
162,булочки вчерашние,шт.
163,булочки для гамбургеров,шт.
164,булочки зерновые,шт.
165,булочки ржаные,кусок
166,булочки с кунжутом,шт.
167,бульон,г
168,бульонные кубики,г
169,бурбон,г
170,Буррата,г
171,буряк,г
172,бусинки кондитерские,ч. л.
173,бусинки кондитерские серебряные,по вкусу
174,бычий хвост,г
175,ванилин,г
176,ваниль в стручках,г
177,ванильная настойка,ст. л.
178,ванильная эссенция,г
179,ванильный порошок,г
180,ванильный сироп,г
181,ванильный экстракт,по вкусу
182,варенье,г
183,васаби,г
184,вафельная крошка,г
185,вафельные коржи,г
186,вафельные трубочки,г
187,вафли,г
188,вафли шоколадные,г
189,вермишель,г
190,вермишель яичная,г
191,вермут,г
192,вермут белый,г
193,вермут сухой,г
194,ветчина,г
195,ветчина вареная,г
196,ветчина варено-копченая,кусок
197,ветчина копченая,г
198,ветчина пармская,г
199,ветчина сырокопченая,г
200,вешенки,г
201,винегрет,г
202,винный камень,щепотка
203,винный уксус,г
204,винный уксус белый,г
205,винный уксус красный,ч. л.
206,винный уксус на чесноке,ч. л.
207,винный уксус на эстрагоне,ст. л.
208,вино белое,по вкусу
209,вино белое полусладкое,г
210,вино белое полусухое,г
211,вино белое сладкое,г
212,вино белое столовое,стакан
213,вино белое сухое,г
214,виноград,г
215,виноград без косточек,г
216,виноград белый,г
217,виноград изабелла,кг
218,виноградное желе,ст. л.
219,виноградные листья,г
220,виноградные листья маринованные,г
221,виноградные листья молодые,шт.
222,виноградный сок,г
223,виноградный сок осветленный,ч. л.
224,виноград синий,г
225,виноград черный,г
226,вино десертное,г
227,вино игристое сухое,г
228,вино красное,г
229,вино красное полусладкое,г
230,вино красное полусухое,г
231,вино красное сладкое,г
232,вино красное сухое,г
233,вино крепленое,г
234,вино розовое полусладкое,ст. л.
235,вино розовое полусухое,г
236,виски,г
237,витамин C в порошке,г
238,вишневая настойка,мл
239,вишневое варенье,г
240,вишневые листья,г
241,вишневый джем,г
242,вишневый ликер,по вкусу
243,вишневый сироп,стакан
244,вишневый сок,г
245,вишня,г
246,вишня вяленая,г
247,вишня замороженная,г
248,вишня засахаренная кондитерская,шт.
249,вишня коктейльная,г
250,вишня мараскино,шт.
251,"вишня, протертая с сахаром",г
252,вода,г
253,вода минеральная без газа,стакан
254,вода минеральная газированная,г
255,водка,г
256,водка анисовая,ч. л.
257,водоросли,г
258,вустерширский соус,г
259,галангал корень,долька
260,галеты,г
261,гамбургер,г
262,ганаш,г
263,гарам масала,г
264,гарнир,г
265,гаспачо,г
266,гвоздика,г
267,гвоздика молотая,г
268,герань листья,по вкусу
269,геркулес,г
270,глазурь,г
271,глазурь белая,г
272,глазурь готовая,г
273,глазурь черная,по вкусу
274,глазурь шоколадная белая,по вкусу
275,глутамат натрия,г
276,глюкоза,г
277,глюкоза сироп,г
278,говядина,г
279,говядина на кости,г
280,говяжий фарш,г
281,говяжий язык,по вкусу
282,говяжье сердце,г
283,говяжьи бифштексы,по вкусу
284,говяжьи голяшки,г
285,говяжьи легкие,г
286,говяжьи ребра,г
287,говяжьи стейки рибай,г
288,говяжья вырезка,г
289,говяжья грудинка,шт.
290,говяжья лопатка,кг
291,говяжья мозговая кость,г
292,говяжья мякоть,шт.
293,говяжья печень,кг
294,говяжья черева,шт.
295,говяжья шейка,г
296,годжи,кг
297,голец филе,г
298,голубика,шт.
299,голубика замороженная,г
300,голубь,г
301,горбуша,г
302,горбуша в собственном соку,по вкусу
303,горбуша филе,банка
304,горгонзола,г
305,горгонзола пиканте,г
306,горох,г
307,горох колотый,г
308,гороховые ростки,г
309,гороховый суп,горсть
310,горошек зеленый,г
311,горошек зеленый замороженный,г
312,горошек зеленый консервированный,г
313,горошек стручковый свежий,г
314,горчица,г
315,горчица дижонская,г
316,горчица дижонская с медом,г
317,горчица желтая семена,г
318,горчица острая,г
319,горчица русская,г
320,горчица семена,ст. л.
321,горчица с зернами,г
322,горчица сухая,г
323,горчица французская,г
324,горчица цитрусовая,г
325,горчичное масло,г
326,горчичный порошок,г
327,грана падано,г
328,гранатные зерна,ст. л.
329,гранатовая паста,г
330,гранатовый сироп,ст. л.
331,гранатовый сок,г
332,гранатовый сок свежевыжатый,г
333,гранатовый соус,мл
334,гранаты,ч. л.
335,гранита,г
336,гранола с орехами,г
337,граппа,г
338,гратен,ч. л.
339,грейпфрутовая цедра,кг
340,грейпфрутовый сок,г
341,грейпфруты,г
342,грейпфруты розовые,г
343,гренадин,г
344,гренки,г
345,грецкие орехи,г
346,грецкие орехи рубленые,г
347,гречневая крупа,г
348,гречневая крупа зеленая,г
349,гречневая лапша соба,ст. л.
350,гречневая мука,г
351,гречневое молоко,г
352,гречневые хлопья,стакан
353,грибы,г
354,грибы белые,г
355,грибы белые замороженные,г
356,грибы белые маринованные,г
357,грибы белые сухие,г
358,грибы замороженные,г
359,грибы замороженные (опята и маслята),г
360,грибы лесные,г
361,грибы маринованные,г
362,грибы свежие,г
363,грибы соленые,г
364,грибы соломенные консервированные,г
365,грибы сухие,шт.
366,грибы шиитаке,г
367,грибы шиитаке сухие,г
368,гриль,г
369,гриссини,г
370,грудинка,г
371,грудинка варено-копченая,г
372,грудинка копченая,г
373,грушевое пюре,по вкусу
374,грушевый ликер,г
375,грушевый сироп,мл
376,грушевый сок,мл
377,грушевый уксус,г
378,груши,ст. л.
379,груши вяленые,по вкусу
380,грюйер,г
381,гуава,г
382,гуанчиале,шт.
383,гурьевская каша,г
384,гусиная грудка копченая,г
385,гусиная печень,г
386,гусиный жир,г
387,гусь,ст. л.
388,гусь тушка,г
389,дайкон,кг
390,детское питание,г
391,джем,г
392,джин,г
393,джусай,г
394,диоксид титана,г
395,долма,г
396,дорада,г
397,дорада потрошеная с головой,шт.
398,дорада с головой,шт.
399,дорада тушка,шт.
400,драже,шт.
401,дрожжи домашние,г
402,дрожжи свежие,г
403,дрожжи сухие,г
404,дубовая кора,по вкусу
405,душица,г
406,дыня,г
407,ежевика,г
408,ежевика замороженная,г
409,ерш,г
410,ёрш-носарь,г
411,желатин,шт.
412,желатин листовой,г
413,желе,по вкусу
414,желе для торта,г
415,желирующее вещество,упаковка
416,желирующий сахар,упаковка
417,женьшень,г
418,жидкий дым,г
419,жимолость,г
420,жир,г
421,жир вытопленный,г
422,жир кулинарный,стакан
423,жир растительный,г
424,заатар,г
425,завтрак сухой,щепотка
426,завтрак сухой подушечки,г
427,загуститель для сливок,г
428,зайчатина,г
429,закваска,г
430,закваска вечная,пакет
431,заменитель сахара,г
432,заменитель сахара стевия,по вкусу
433,заправка для салатов готовая,г
434,зверобой,г
435,зелень,по вкусу
436,зелень рубленая,г
437,земляника,г
438,земляника замороженная,по вкусу
439,зефир,г
440,зира,г
441,злаковые хлопья,г
442,зубатка,г
443,зубатка филе,г
444,изолят соевого протеина,г
445,изюм,г
446,изюм без косточек,г
447,изюм белый,г
448,изюм черный,г
449,икра,г
450,икра вяленой рыбы,г
451,икра горбуши зернистая,г
452,икра красная,г
453,икра красной рыбы мелкая,г
454,икра летучей рыбы,г
455,икра лосося,г
456,икра мойвы,г
457,икра палтуса,г
458,икра судака,г
459,икра черная,г
460,имбирное варенье,г
461,имбирное печенье,г
462,имбирные цукаты,по вкусу
463,имбирь,ст. л.
464,имбирь засахаренный,г
465,имбирь корень,г
466,имбирь маринованный,г
467,имбирь молотый,г
468,индейка,г
469,индейка голень,г
470,индейка грудка,г
471,индейка копченая,г
472,индейка тушка,г
473,индейка фарш,шт.
474,индейка филе,г
475,индоутка,г
476,индюшачья печень,шт.
477,инжир,г
478,инжир свежий,г
479,инжир сушеный,г
480,ирга,г
481,ириски,г
482,итальянские травы,г
483,йогурт,г
484,йогурт греческий,г
485,йогурт жирный,г
486,йогурт козий,г
487,йогурт натуральный,г
488,йогурт нежирный,г
489,йогурт обезжиренный,г
490,йогурт фруктовый,г
491,кабачки,г
492,кабачки замороженные,г
493,кабачки молодые,г
494,каджунская смесь специй,г
495,какао,ст. л.
496,какао-бобы,горсть
497,какао-масло,г
498,какао-порошок,г
499,какао-порошок обезжиренный,по вкусу
500,какао сгущенное,г
501,калина,банка
502,калина протертая,по вкусу
503,калинджи семена,г
504,кальвадос,ч. л.
505,кальмары,г
506,кальмары вареные,г
507,кальмары замороженные,г
508,кальмары консервированные,г
509,кальмары филе,г
510,камамбер,шт.
511,камбала,упаковка
512,камбала филе,г
513,кампари,г
514,кандурин золотой,мл
515,каннеллони,ч. л.
516,капеллини,г
517,каперсы,г
518,каперсы в винном уксусе,г
519,каперсы маринованные,г
520,капуста белокочанная,г
521,капуста брюссельская,г
522,капуста брюссельская замороженная,г
523,капуста кале,г
524,капуста квашеная,г
525,капуста кольраби,по вкусу
526,капуста краснокочанная,г
527,капуста морская,г
528,капуста морская замороженная,по вкусу
529,капуста морская сушеная,г
530,капуста пекинская,г
531,капуста савойская,г
532,капуста цветная,г
533,капуста цветная замороженная,г
534,капустный рассол,г
535,капучино,г
536,каракатица,г
537,каракатица очищенная,г
538,карамбола,г
539,карамель,г
540,карамельный соус,мл
541,карамель с начинкой,г
542,карамель соленая,г
543,карась,г
544,карбонад,г
545,кардамон,г
546,кардамон зерна,г
547,кардамон молотый,ч. л.
548,кардамон стручки,г
549,каркаде,шт.
550,карп,г
551,карп зеркальный,г
552,карп филе,кг
553,карри,кг
554,карри листья,г
555,карри паста,г
556,картофель,пакет
557,картофель вареный,г
558,картофель вареный в мундире,г
559,картофель молодой,г
560,картофельное пюре,г
561,картофельные ньокки,по вкусу
562,картофельные хлопья,г
563,картофельные чипсы,г
564,картофельный крахмал,г
565,картофельный отвар,г
566,картофельный хэш замороженный,г
567,картофель печеный,г
568,катык,г
569,каффир-лайм листья,г
570,каша,по вкусу
571,каша для детского питания,г
572,каштановая мука,г
573,каштановый крем,г
574,каштаны,г
575,каштаны вареные,г
576,каштаны консервированные,г
577,каштаны очищенные,г
578,квас,г
579,квасное сусло,г
580,квасной концентрат сухой,г
581,квас хлебный,упаковка
582,кедровая мука,г
583,кедровые орехи,г
584,кедровые орехи жареные,г
585,кета,г
586,кетчуп острый,г
587,кетчуп томатный,по вкусу
588,кетчуп тосканский,г
589,кетчуп шашлычный,ст. л.
590,кефаль,г
591,кефир,г
592,кефир 1%,по вкусу
593,"кефир 2,5%",г
594,"кефир 3,2%",г
595,кефир обезжиренный,г
596,кешью,г
597,кивано,г
598,киви,г
599,киви желе,кг
600,кижуч,г
601,кижуч горячего копчения филе,г
602,кизил,г
603,килька,г
604,кимчи,г
605,кинза свежая,г
606,кинза сушеная,зубчик
607,киноа,г
608,киноа молотая,г
609,кипяток,г
610,кирш,г
611,кисель,ст. л.
612,кисель сухой,г
613,кисломолочный напиток Тан,г
614,кишки,мл
615,клейковина,г
616,клементины,г
617,кленовый сироп,г
618,клубника,г
619,клубника в сиропе,г
620,клубника замороженная,г
621,"клубника, протертая с сахаром",г
622,клубника сушеная,г
623,клубничное варенье,г
624,клубничное желе,г
625,клубничное пюре,упаковка
626,клубничный джем,г
627,клубничный джем густой,г
628,клубничный компот,мл
629,клубничный ликер,стакан
630,клубничный сироп,г
631,клюква,г
632,клюква вяленая,г
633,клюква замороженная,г
634,"клюква, протертая с сахаром",г
635,клюквенное варенье,г
636,клюквенный джем,г
637,клюквенный морс,г
638,клюквенный сироп,ст. л.
639,клюквенный соус,г
640,козлиная печень,г
641,козлятина молодая,г
642,кока-кола,кг
643,кокосовая вода,ст. л.
644,кокосовая мука,стакан
645,кокосовая стружка,ст. л.
646,кокосовая стружка цветная,г
647,кокосовое масло,г
648,кокосовое молоко,мл
649,кокосовые сливки,г
650,кокосовый ликер,г
651,кокосовый экстракт,ст. л.
652,кокосы,г
653,кола,г
654,колбаса,г
655,колбаса вареная,г
656,колбаса варено-копченая,г
657,колбаса копченая,г
658,колбаса кровяная,г
659,колбаса полукопченая,г
660,колбаса сырокопченая,г
661,колбаска свиная свежая (salsiccia),г
662,колбаски,шт.
663,колбаски для жарки,г
664,колбаски домашние,г
665,колбаски охотничьи,шт.
666,колбаски сырокопченые,г
667,компот,шт.
668,конопляное масло,г
669,конопля семена,ст. л.
670,конфеты,г
671,конфеты M&M’s,по вкусу
672,конфеты жевательные лакричные,г
673,конфеты Коровка,г
674,конфеты Трюфель,г
675,конфитюр,г
676,конфитюрка,по вкусу
677,коньяк,упаковка
678,копчености,г
679,коренья,г
680,кориандр,по вкусу
681,кориандр зелень,г
682,кориандр молотый,г
683,кориандр семена,г
684,коринка,г
685,корица,ст. л.
686,корица молотая,г
687,корнишоны,г
688,корнишоны маринованые,г
689,корюшка,г
690,корюшка горячего копчения,г
691,кости,г
692,кости мозговые,г
693,кость сахарная,г
694,кофе в зернах,г
695,кофе зеленый,стакан
696,кофейные зерна в шоколаде,г
697,кофейный ликер,г
698,кофейный ликер Kahlua,г
699,кофейный напиток,мл
700,кофейный сироп,мл
701,кофейный экстракт,г
702,кофе молотый,мл
703,кофе растворимый,ст. л.
704,кофе свежесваренный,г
705,кофе черный,г
706,кофе эспрессо,г
707,крабовое мясо,стакан
708,крабовые палочки,г
709,краб снежный,по вкусу
710,крабы,по вкусу
711,крапива,г
712,краситель-гель пищевой,г
713,краситель пищевой,шт.
714,краситель пищевой вишневый,г
715,краситель пищевой желтый,щепотка
716,краситель пищевой зеленый,г
717,краситель пищевой красный,ст. л.
718,краситель пищевой оранжевый,г
719,краситель пищевой фиолетовый,г
720,краситель пищевой черный,г
721,красная смородина,г
722,"красная смородина, протертая с сахаром",г
723,красноперка,ст. л.
724,красносмородиновое варенье,шт.
725,красный винный соус,г
726,крахмал,г
727,креветки,г
728,креветки замороженные,г
729,креветки королевские,г
730,креветки очищенные,г
731,креветки очищенные в рассоле,г
732,креветки салатные,г
733,креветки сушеные,г
734,креветки тигровые,г
735,крекер,г
736,крекер соленый,г
737,крем заварной,г
738,крем заварной порошковый,г
739,крем-фреш,г
740,кресс-салат,г
741,кровь,г
742,кролик,мл
743,кролик тушка,г
744,кролик филе,г
745,кроличья печень,г
746,круассаны,г
747,крутоны мелкие,по вкусу
748,крыжовник,г
749,крыжовниковое варенье,г
750,кукуруза,банка
751,кукуруза замороженная,г
752,кукуруза консервированная,г
753,кукуруза обжаренная кикос,г
754,кукурузная крупа,г
755,кукурузная мука,г
756,кукурузное масло,г
757,кукурузные лепешки,г
758,кукурузные палочки,шт.
759,кукурузные хлопья,г
760,кукурузные хлопья глазированные,г
761,кукурузные чипсы,г
762,кукурузный (золотой) сироп,г
763,кукурузный крахмал,г
764,кумин,по вкусу
765,кумкваты,г
766,кунжут,горсть
767,кунжутная мука,г
768,кунжутная паста,г
769,кунжутное масло,г
770,кунжутные семечки,г
771,кунжут черный,по вкусу
772,купаты,ч. л.
773,курага,шт.
774,курдючное сало,по вкусу
775,курдючный жир,г
776,куриная ветчина,г
777,куриная кожа,г
778,куриная печень,г
779,куриное карпаччо,г
780,куриное филе,г
781,куриные бедра,г
782,куриные голени,г
783,куриные голени копченые,г
784,куриные грудки,шт.
785,куриные грудки вареные,г
786,куриные грудки копченые,г
787,куриные желудочки,г
788,куриные кости,шт.
789,куриные крылья,г
790,куриные окорочка,г
791,куриные окорочка копченые,г
792,куриные потрошки,г
793,куриные сердечки,г
794,куриный бульон,г
795,куриный паштет,г
796,куриный суповой набор,г
797,куриный фарш,кг
798,курица,г
799,курица вареная,г
800,курица для жарки,г
801,курица копченая,кг
802,курица тушка,г
803,куркума,г
804,куропатки,г
805,кускус,г
806,кускус жемчужный,г
807,кэроб,стакан
808,лаванда,г
809,лаванда сушеная,г
810,лавандовый краситель,щепотка
811,лаваш,ч. л.
812,лаваш армянский,по вкусу
813,лаваш персидский круглый,г
814,лаваш тонкий,г
815,лавровые листья свежие,пласт
816,лавровый лист,шт.
817,лайм,г
818,лайм листья,г
819,лаймовая цедра,шт.
820,лаймовый сок,г
821,лангустины,г
822,лапша,шт.
823,лапша для лагмана,г
824,лапша ширатаки,упаковка
825,лапша яичная в гнездах,г
826,латук,шт.
827,легкие,г
828,лед,г
829,леди-фиш тушка,г
830,лемонграсс (лимонное сорго),шт.
831,лен семена,г
832,лепешки,г
833,лепешки арабские,г
834,лесные орехи,шт.
835,лечо,г
836,ливер,г
837,ликер,г
838,ликер Alchermes,г
839,ликер Amaretto,г
840,ликер Baileys,г
841,ликер Cointreau,г
842,ликер кремовый,г
843,ликер сливочный,г
844,лимонад,г
845,лимонная кислота,г
846,лимонная цедра,г
847,лимонник стебель,г
848,лимонник ягоды,г
849,лимонные корочки засахаренные,г
850,лимонные цукаты,г
851,лимонный сок,г
852,лимонный уксус,г
853,лимонный экстракт,г
854,лимончелло,г
855,лимоны,г
856,лимоны сушеные,г
857,лингвине,шт.
858,лисички,шт.
859,лисички сушеные,г
860,личи,г
861,личи компот,шт.
862,лобстер,г
863,лонган,г
864,лонгконг,г
865,лососевые молоки,шт.
866,лососевый фарш,г
867,лосось,г
868,лосось горячего копчения,г
869,лосось копченый,г
870,лосось свежесоленый,г
871,лосось свежий,г
872,лосось свежий филе,г
873,лосось слабосоленый,г
874,лосось стейки,г
875,лосось филе,г
876,лосось филе на коже,г
877,лосось холодного копчения,г
878,лосятина,г
879,лук белый,кг
880,лук зеленый,по вкусу
881,лук красный,г
882,лук маринованный,по вкусу
883,луковая шелуха,г
884,луковый порошок,г
885,лук-порей,г
886,лук-резанец,горсть
887,лук репчатый,по вкусу
888,лук репчатый мелкий,г
889,лук салатный,г
890,лук сушеный,шт.
891,лук-шалот,г
892,лук-шалот красный,г
893,льняная мука,шт.
894,льняное масло,г
895,льняное семя,ч. л.
896,льняное семя молотое,г
897,любисток,г
898,маасдам,г
899,мадера,г
900,майонез,г
901,майонез домашний,г
902,майонез легкий,г
903,майонезный соус «Слобода» Постный,г
904,майонез оливковый,г
905,майонез «Слобода» Легкий,г
906,майонез «Слобода» На перепелиных яйцах,г
907,майонез «Слобода» Оливковый,г
908,майонез «Слобода» Провансаль,г
909,майонез «Слобода» С лимонным соком,г
910,майонез «Слобода» Сметанный,г
911,майоран,г
912,майоран свежий,г
913,майоран сушеный,по вкусу
914,мак,г
915,макаронные изделия,г
916,макаронные изделия мелкие,г
917,макароны,г
918,макароны-бабочки (farfalle),г
919,макароны-бабочки (farfalle) мини,г
920,макароны баветте,г
921,макароны-бантики,г
922,макароны букатини,г
923,макароны джильи,г
924,макароны диталони,г
925,макароны-звездочки,г
926,макароны орзо,стакан
927,макароны-ракушки (conchiglie),г
928,макароны-ракушки (conchiglie rigate),г
929,макароны-ракушки крупные,г
930,макароны рисони,г
931,макароны-рожки (pipe rigate),г
932,макароны-спиральки (fusilli),г
933,макароны-ушки (orecchiette),г
934,маккерончини,г
935,мак молотый,г
936,маковая масса,г
937,малина,пачка
938,малина замороженная,г
939,"малина, протертая с сахаром",г
940,малина сушеная,стакан
941,малиновое варенье,г
942,малиновое желе,г
943,малиновое пюре,г
944,малиновый джем,г
945,малиновый крем,г
946,малиновый сироп,г
947,малиновый соус,ч. л.
948,малиновый уксус,ч. л.
949,малиновый чай,мл
950,манго,г
951,манговый сироп,по вкусу
952,манго консервированное,мл
953,мангольд,г
954,мангустин,г
955,мандариновое пюре,шт.
956,мандариновые цукаты,г
957,мандариновый сок,г
958,мандарины,г
959,мандарины в собственном соку,по вкусу
960,манная крупа,г
961,маракуйя,г
962,маргарин,г
963,маргарин сливочный,г
964,мармелад,г
965,мармелад бутербродный,по вкусу
966,марсала,г
967,мартини,стакан
968,мартини красный,г
969,марципан,г
970,марципан зеленый,по вкусу
971,марципан розовый,г
972,маршмеллоу,г
973,маршмеллоу крем,г
974,маршмеллоу мини,г
975,маскарпоне,г
976,маслины,г
977,маслины без косточек,г
978,масло авокадо,г
979,масло виноградных косточек,г
980,масло грецкого ореха,г
981,масло для фритюра,ч. л.
982,масло кедрового ореха,г
983,маслята,г
984,мастика,г
985,мастика желатиновая,г
986,мастика шоколадная,г
987,матча,г
988,мафальдине,г
989,маца,г
990,мацони,г
991,маш,г
992,мед,г
993,мед акации,г
994,мед гречишный,г
995,мед жидкий,г
996,мед лавандовый,г
997,мелисса,г
998,меренги,г
999,мидии,шт.
1000,мидии в раковинах,г
1001,мидии в раковинах крупные черные,г
1002,мидии в раковинах мелкие зеленые,г
1003,мидии замороженные,г
1004,мидии копченые в масле,шт.
1005,микрозелень,г
1006,миндаль,горсть
1007,миндаль жареный,г
1008,миндаль измельченный,г
1009,миндальная масса,г
1010,миндальная мука,г
1011,миндальная паста,г
1012,миндальная эссенция,г
1013,миндальное масло,г
1014,миндальное молоко,г
1015,миндальное печенье,г
1016,миндальное пралине,г
1017,миндальные лепестки,г
1018,миндальный ликер,г
1019,миндальный сироп,г
1020,миндальный экстракт,г
1021,миндаль очищенный,капля
1022,миндаль рубленый,г
1023,мини-кукуруза,г
1024,минога,шт.
1025,минтай,г
1026,минтай печень,г
1027,минтай филе,г
1028,мисо-паста,г
1029,мисо-суп,г
1030,можжевельник ягоды,пакет
1031,мойва,г
1032,моллюски,г
1033,молоко,г
1034,"молоко 0,5%",г
1035,"молоко 1,5%",г
1036,"молоко 2,5%",г
1037,"молоко 3,2%",г
1038,"молоко 3,6%",г
1039,молоко 4%,г
1040,молоко 6%,г
1041,молоко козье,г
1042,молоко концентрированное,г
1043,молоко рисовое,г
1044,молоко сгущенное,мл
1045,молоко сгущенное вареное,г
1046,молоко сгущенное с какао,ст. л.
1047,молоко сухое,г
1048,молоко сухое обезжиренное,г
1049,молоко топленое,ст. л.
1050,молочная смесь,г
1051,молочные продукты,г
1052,морепродукты,г
1053,морковное пюре,шт.
1054,морковь,г
1055,морковь вареная,г
1056,морковь крупная,г
1057,морковь молодая,г
1058,морковь по-корейски,г
1059,морковь тертая,г
1060,мороженое,шт.
1061,мороженое ванильное,по вкусу
1062,мороженое клубничное,г
1063,мороженое лимонное,г
1064,мороженое малиновое,по вкусу
1065,мороженое пломбир,г
1066,мороженое шоколадное,г
1067,морошка,мл
1068,морские гребешки,г
1069,морской коктейль,кг
1070,морской коктейль в масле,г
1071,морской коктейль замороженный,упаковка
1072,морской черт,г
1073,морской язык,г
1074,морской язык филе,г
1075,мортаделла,г
1076,моцарелла,г
1077,моцарелла для запекания,г
1078,моцарелла для пиццы,г
1079,моцарелла мини,г
1080,моцарелла с травами,г
1081,моцарелла шарик большой,г
1082,мука,г
1083,мука 1 сорт,г
1084,мука 2 сорт,г
1085,мука «Аладушкин»,г
1086,мука грубого помола,г
1087,мука для темпуры,г
1088,мука из пророщенной пшеницы,г
1089,мука манитоба,ст. л.
1090,мука самоподнимающаяся,г
1091,мука с отрубями,г
1092,мука с семечками,ч. л.
1093,мука хлебопекарная,г
1094,мука цельнозерновая,г
1095,мускат белый,г
1096,мускатное вино,мл
1097,мускатный орех,г
1098,мускатный орех молотый,г
1099,мюсли,г
1100,мягкий творог,г
1101,мясной бульон,г
1102,мясной фарш,г
1103,мясо,г
1104,мясо дикого кабана,г
1105,мясо криля,г
1106,мясо на косточке,г
1107,мята,кг
1108,мята сушеная,г
1109,мятный сироп,г
1110,мятный шнапс,г
1111,нардек,г
1112,нектарины,г
1113,нога ягненка без кости,шт.
1114,нори,г
1115,нуга,г
1116,нуга с орехами,г
1117,нут,г
1118,нутелла,г
1119,нут консервированный,г
1120,нутовая мука,г
1121,облепиха,г
1122,облепиха замороженная,г
1123,облепиховый сироп,г
1124,овощи,стакан
1125,овощная смесь,г
1126,овощная смесь замороженная,г
1127,овощная смесь замороженная для wok,г
1128,овощная смесь по-китайски,г
1129,овощной бульон,г
1130,овсяная мука,по вкусу
1131,овсяное молоко,г
1132,овсяное печенье,стакан
1133,овсяное толокно,г
1134,овсяные зерна,г
1135,овсяные отруби,г
1136,овсяные хлопья,г
1137,овсяные хлопья быстрого приготовления,г
1138,огуречный рассол,г
1139,огурцы,стакан
1140,огурцы консервированные,г
1141,огурцы малосольные,шт.
1142,огурцы маринованные,шт.
1143,огурцы свежие,банка
